NAME,LATITUDE,LONGITUDE,DATE,PRCP,SNOW,TAVG,TMAX,TMIN
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-06-03,0.00,0.0,66,69,61
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-06-04,0.00,0.0,67,75,57
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-06-05,0.00,0.0,66,74,56
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-06-06,0.00,0.0,68,77,58
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-06-07,0.04,0.0,68,75,58
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-06-08,0.00,0.0,73,84,67
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-06-09,0.60,0.0,74,84,64
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-06-10,0.00,0.0,71,80,63
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-06-11,0.00,0.0,71,80,65
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-06-12,0.15,0.0,67,72,63
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-06-13,0.00,0.0,72,79,66
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-06-14,0.00,0.0,73,80,66
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-06-15,0.00,0.0,72,79,66
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-06-16,0.29,0.0,68,72,64
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-06-17,0.00,0.0,77,94,67
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-06-18,0.00,0.0,73,78,59
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-06-19,0.00,0.0,64,76,55
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-06-20,0.00,0.0,70,82,58
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-06-21,0.02,0.0,70,78,61
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-06-22,0.14,0.0,65,67,61
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-06-23,0.00,0.0,67,74,60
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-06-24,0.00,0.0,68,76,61
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-06-25,0.00,0.0,76,88,66
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-06-26,0.00,0.0,75,84,68
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-06-27,0.35,0.0,72,77,69
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-06-28,0.00,0.0,72,80,64
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-06-29,0.00,0.0,72,83,64
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-06-30,0.00,0.0,75,84,68
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-07-01,0.00,0.0,76,85,70
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-07-02,0.00,0.0,78,87,73
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-07-03,0.00,0.0,79,88,70
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-07-04,0.00,0.0,76,85,66
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-07-05,0.01,0.0,74,84,68
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-07-06,0.00,0.0,79,89,71
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-07-07,0.00,0.0,77,82,69
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-07-08,0.26,0.0,72,81,65
"JFK INT AIRPORT, NY US",40.63915,-73.7639,2022-07-09,0.00,0.0,76,86,69
