NAME,LATITUDE,LONGITUDE,DATE,PRCP,SNOW,TAVG,TMAX,TMIN
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-04-15,0.00,0.0,55,70,40
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-04-16,0.00,0.0,58,64,44
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-04-17,0.00,0.0,44,50,35
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-04-18,0.52,0.0,42,45,34
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-04-19,0.00,0.0,41,52,35
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-04-20,0.00,0.0,49,66,40
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-04-21,0.27,0.0,59,64,48
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-04-22,0.00,0.0,60,77,44
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-04-23,0.00,0.0,71,83,58
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-04-24,0.00,0.0,72,81,63
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-04-25,0.10,0.0,69,72,51
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-04-26,0.00,0.0,50,57,38
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-04-27,0.00,0.0,49,62,36
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-04-28,0.01,0.0,53,64,43
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-04-29,0.00,0.0,59,72,52
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-04-30,0.20,0.0,62,73,52
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-05-01,0.10,0.0,69,75,55
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-05-02,0.00,0.0,60,73,43
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-05-03,1.08,0.0,66,79,58
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-05-04,0.00,0.0,58,60,52
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-05-05,0.19,0.0,57,63,54
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-05-06,1.84,0.0,62,73,54
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-05-07,0.01,0.0,56,62,50
"CIN/NKY INTERNATIONAL AIRPORT, KY US",39.04443,-84.67241,2022-05-08,0.00,0.0,58,70,47
